ID;INEP;NOME;ENDERECO;MUNICIPIO;UF;GRE
fd2f9bf2-04f8-4f8f-b207-a8a77af4e2c0;25000047;ECI NOSSA SENHORA DA CONCEICAO;RUA JOAO BATISTA DE OLIVEIRA FORTE, 411 CASA. CENTRO. 58895-000 Belém do Brejo do Cruz - PB.;Belém do Brejo do Cruz;PB;08ª GRE (Catolé do Rocha)
1d1244d6-d28e-41b8-8c8c-0135aa5cd3bb;25000055;EEEFM AMERICO MAIA;RUA JOAO AGRIPINO, 331 PREDIO. CENTRO. 58895-000 Belém do Brejo do Cruz - PB.;Belém do Brejo do Cruz;PB;08ª GRE (Catolé do Rocha)
bf31c364-3fc4-466e-8d78-d4a3f50239cb;25000349;ECIT PADRE ARISTIDES;RUA FRANCISCO GONCALVES DE ALMEIDA, SN CENTRO. 58887-000 Bom Sucesso - PB.;Bom Sucesso;PB;08ª GRE (Catolé do Rocha)
7a443b74-d83d-4632-be48-1952f4976017;25000373;EEEM DOUTOR JOSE PAZ DE LIMA;RUA ANTONIO ALMINO, 17 CENTRO. 58887-000 Bom Sucesso - PB.;Bom Sucesso;PB;08ª GRE (Catolé do Rocha)
e391bd88-f722-41f9-af06-260375182104;25000640;ECIT PROFESSOR JOSE OLIMPIO MAIA;RUA HORACIO PIMENTA, 225 PREDIO ESCOLAR. CENTRO. 58890-000 Brejo do Cruz - PB.;Brejo do Cruz;PB;08ª GRE (Catolé do Rocha)
7804c815-b55f-4e38-8f04-1d4956f77750;25000659;EEEM ANTONIO GOMES;RUA ANGELINA MARIZ, 50 CENTRO. 58890-000 Brejo do Cruz - PB.;Brejo do Cruz;PB;08ª GRE (Catolé do Rocha)
cd600d30-dc59-4d26-bb2d-d5d48abe05db;25001302;ECI EM OLIVIA SARAIVA MAIA;RUA CONEGO SANDOVAL, 124 CENTRO. 58893-000 São José do Brejo do Cruz - PB.;São José do Brejo do Cruz;PB;08ª GRE (Catolé do Rocha)
86f2be80-6a2b-4618-9790-7ad7de9bba6e;25001477;ECI PROFESSORA DIVA GUEDES DE ARAUJO;RUA APOLONIO PEREIRA DE SOUSA, 150 CENTRO. 58880-000 Brejo dos Santos - PB.;Brejo dos Santos;PB;08ª GRE (Catolé do Rocha)
2d94b1a6-b969-4ac0-985d-95a83d620c8f;25001825;EEEM ESC AGROTECNICA DO CAJUEIRO CAMPUS IV - UEPB;SITIO CAJUEIRO, SN ESCOLA. 58884-000 Catolé do Rocha - PB.;Catolé do Rocha;PB;08ª GRE (Catolé do Rocha)
41d2c5c9-a2d5-48eb-a373-4d872df3e073;25001833;ECIT OBDULIA DANTAS;AVENIDA VENANCIO NEIVA, 804 EM FRENTE AO PARQUE. CENTRO. 58884-000 Catolé do Rocha - PB.;Catolé do Rocha;PB;08ª GRE (Catolé do Rocha)
148760b7-670a-4c1d-8326-d2967980625b;25001868;EEEF JOAQUIM VALDEVINO DE LIMA;SITIO CAJAZEIRINHA, SN SITIO. ZONA RURAL. 58884-000 Catolé do Rocha - PB.;Catolé do Rocha;PB;08ª GRE (Catolé do Rocha)
5564bbd7-cd5f-44f2-ab2a-e88c20267174;25001876;EEEF JOSE DE SA CAVALCANTE;SITIO CATOLE DE BAIXO, SN AO LADO DO PSF. ZONA RURAL. 58884-000 Catolé do Rocha - PB.;Catolé do Rocha;PB;08ª GRE (Catolé do Rocha)
e3b15315-ea7c-4055-a38a-a9630c4b27d7;25001906;ECI JOAO SUASSUNA;PRACA PREFEITO JOSE SERGIO MAIA, 70 PREDIO. CENTRO. 58884-000 Catolé do Rocha - PB.;Catolé do Rocha;PB;08ª GRE (Catolé do Rocha)
5e792ffe-5878-4dd0-a2f7-314bf679b3c6;25001914;EEEFM E EJA SERGINA LAURA DANTAS;RUA DR ANTONIO FERREIRA, 155 CORRENTE. 58884-000 Catolé do Rocha - PB.;Catolé do Rocha;PB;08ª GRE (Catolé do Rocha)
7e8910c7-1c4d-48e4-806a-4813028289c9;25002376;EEEF FABIO MARIZ MAIA;DISTRITO CORONEL MAIA, SN ZONA RURAL. 58884-000 Catolé do Rocha - PB.;Catolé do Rocha;PB;08ª GRE (Catolé do Rocha)
47e4feab-a81b-464d-8719-4c49845f0c03;25002422;ECI FRANCISCO MAIA;RUA JOSE MESQUITA, 112 PREDIO. CENTRO. 58830-000 Jericó - PB.;Jericó;PB;08ª GRE (Catolé do Rocha)
d832401d-f583-4251-a838-7927bf698332;25002457;ECI JOSE SERAFIM DE LIMA;RUA ANTONIO SERAFIM DE LIMA, 16 CENTRO. 58832-000 Mato Grosso - PB.;Mato Grosso;PB;08ª GRE (Catolé do Rocha)
58d43c45-7889-4712-a939-e0fb2b17e518;25003011;EEEF VARZEA DOS CALADOS;SITIO VARZEA DOS CALADOS, 58835-000 Lagoa - PB.;Lagoa;PB;
573d30cf-7b98-4c7b-932a-c14da42c9f7e;25003038;EEEFM MONSENHOR VALERIANO PEREIRA;TRAVESSA SIMPLICIO ROQUE, 02 PREDIO ESCOLAR. CENTRO. 58835-000 Lagoa - PB.;Lagoa;PB;13ª GRE (Pombal)
15126fb6-8a8b-4e10-8aad-c11aed879009;25003054;ECI FREI BRUNO;RUA PADRE ARISTIDES, 0 CENTRO. 58835-000 Lagoa - PB.;Lagoa;PB;13ª GRE (Pombal)
2bfe1d0d-73f6-4d8b-8a7e-28e420f4dce6;25003410;ECIT DANIEL CARNEIRO;RUA DR ANTONIO CARNEIRO, 60 PREDIO. CENTRO. 58870-000 Riacho dos Cavalos - PB.;Riacho dos Cavalos;PB;08ª GRE (Catolé do Rocha)
ef98576f-ea00-4339-8e8d-6a35d89527c2;25003844;EEEM JOAO SILVEIRA GUIMARAES;RUA SAO JUDAS TADEU, 53 PREDIO. SAO JOSE. 58865-000 São Bento - PB.;São Bento;PB;08ª GRE (Catolé do Rocha)
33813a3c-8153-4680-91e7-77bc94bc2010;25003852;EEEIF FAUSTO MEIRA;RUA DR JOAO AGREPINO, 232 CENTRO. 58865-000 São Bento - PB.;São Bento;PB;08ª GRE (Catolé do Rocha)
edc97103-2a39-4492-beb6-bf1b4f6f97f1;25004875;EEEFM MINISTRO JOSE AMERICO DE ALMEIDA;RUA VIDAL DE NEGREIROS, 134 CENTRO. 58910-000 São João do Rio do Peixe - PB.;São João do Rio do Peixe;PB;09ª GRE (Cajazeiras)
b6dca179-c815-44ca-b007-fd19310105f7;25004883;ECIT CORONEL JACOB GUILHERME FRANTZ;RUA PADRE JOAQUIM CIRILO DE SA, 95 CENTRO. 58910-000 São João do Rio do Peixe - PB.;São João do Rio do Peixe;PB;09ª GRE (Cajazeiras)
f9370501-7e59-47dc-8af7-6cde2c848a6a;25004948;EEEIEF DISTRITO DE UMARI;DISTRITO DE UMARI, S/N ZONA RURAL. 58910-000 São João do Rio do Peixe - PB.;São João do Rio do Peixe;PB;09ª GRE (Cajazeiras)
eac9e5f0-3cd7-4652-975e-911dbbfca22e;25004999;EEEM DE BANDARRA;DISTRITO DE BANDARRA, 0 ZONA RURAL. 58910-000 São João do Rio do Peixe - PB.;São João do Rio do Peixe;PB;
5dac2255-da29-493f-afb7-7df3a4f2a514;25005995;ECIT PROFESSORA FRANCISCA FONSECA MATIAS;AV FREI DAMIAO, 00 PROXIMO AO PORTAL DE. BAIRRO DAS POPULARES. 58908-000 Poço de José de Moura - PB.;Poço de José de Moura;PB;09ª GRE (Cajazeiras)
5fa26ffb-5e98-488b-a66a-754181e34304;25006029;ECI PROFESSOR JOAQUIM UMBELINO;RUA 05 DE NOVEMBRO, 1 ASA BRANCA. 58930-000 Bom Jesus - PB.;Bom Jesus;PB;09ª GRE (Cajazeiras)
08f11a62-bc81-4a17-b690-882a40d1d7f7;25006223;ECIT MONSENHOR MORAIS;RUA APRIGIO PEREIRA DA SILVA, 1 PREDIO. ALTO DA BOA VISTA. 58960-000 Bonito de Santa Fé - PB.;Bonito de Santa Fé;PB;09ª GRE (Cajazeiras)
1e65bbaa-4fbd-4ff8-955f-be810c83cff7;25006231;EEEFM JOAQUIM NABUCO;RUA PREFEITO JOSE FERREIRA CAJU, 204 PREDIO. CENTRO. 58960-000 Bonito de Santa Fé - PB.;Bonito de Santa Fé;PB;
cb071433-2848-4b73-90bf-28d2dbb4658d;25007092;ECI PROFESSOR ADALBERTO DE SOUSA OLIVEIRA;RUA SERGIO MOREIRA, 45 PREDIO ESCOLAR. CENTRO. 58935-000 Cachoeira dos Índios - PB.;Cachoeira dos Índios;PB;09ª GRE (Cajazeiras)
1a6288a4-2f52-448c-97d8-3e6c4964f46a;25007718;EEEFM PROFESSOR MANOEL MANGUEIRA LIMA;RUA JOSE LEITE DE OLIVEIRA, 215 POR DO SOL. 58900-000 Cajazeiras - PB.;Cajazeiras;PB;09ª GRE (Cajazeiras)
522f0c12-0ef0-4682-b510-158cee282fc9;25007726;ECI EEFM PROFESSOR CRISPIM COELHO;AV PEDRO MORENO GONDIM, 0 ESTADUAL. CENTRO. 58900-000 Cajazeiras - PB.;Cajazeiras;PB;09ª GRE (Cajazeiras)
a3e9e179-ff2d-4b35-a6f8-dc1ab78e464a;25007742;EEEFM DOM MOISES COELHO;RUA PADRE JOSE TOMAZ, 387 TERREO. CENTRO. 58900-000 Cajazeiras - PB.;Cajazeiras;PB;09ª GRE (Cajazeiras)
de9d8770-2c2d-41f3-90f2-42a874377e63;25007785;ECIT CRISTIANO CARTAXO;AV JULIO MARQUES DO NASCIMENTO, 915 JARDIM OASIS. 58900-000 Cajazeiras - PB.;Cajazeiras;PB;09ª GRE (Cajazeiras)
